,@Username,Tweet,Lokasi
109,gundalaRI,@ganjarpranowo @LaporGub_ Diinget2 Pak nama yg wawancara biar nanti kalo ditanya kenal apa engga jawabnya ngga salah 😀,Stuttgart
110,JukiWak,"@ganjarpranowo Suwe suwe koyo Anis,kakean teori",
111,masjawara15,"@ganjarpranowo @jokowi Mesakne den den, karepe ngetwit malah disambati rakyate, masalahe mung kuwa kuwi ra bar bar",
112,JukiWak,"@ganjarpranowo @jokowi Ra usah duwur ngomong Negoro, kae loh dalan Jawa r4ngah bejat Kabeh. Ki dalan Pati Rembang macet total. Ditakoki solusi malah dijawab mediamu OPO ra Ceto🤣🤣🤣. Ngene kok ke PD an nyalon presiden.",
113,voxyimpianku,"@ch_chotimah2 @ganjarpranowo Alah , kalo bangun jalan gubernur yang disebut
Giliran banjir, itu tanggung jawab bupati ato walikota, 
Dobol dobol",
114,MuhamadIrfanMu5,@ganjarpranowo https://t.co/12uuxkGaps,"Bumiayu, Indonesia"
115,cah_bagus1204,@TyoSade35337920 @ch_chotimah2 @ganjarpranowo Orang bego gak ngerti keuangan pemerintahan ya gini. APBD kalo tdk hbs terserap justru jd pertanyaan. Artinya program2 yg sdh dianggarkan tdk dijalankan.,
116,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/1bIvXRTgMP","Slawi, Indonesia"
117,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/5SkBuSplz5","Slawi, Indonesia"
118,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/pJkskZqGOZ","Slawi, Indonesia"
119,_owh_gitu_ya_,@ganjarpranowo @LaporGub_ Cocok jadi komedian,Wakanda
120,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/Edb54iUNBT","Slawi, Indonesia"
121,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/qO19oow7J6","Slawi, Indonesia"
122,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/kS6xAaRoTx","Slawi, Indonesia"
123,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/wMtaDmsRJp","Slawi, Indonesia"
124,zazaniche,@gayengco @ganjarpranowo @jokowi Ini apa ga urgent yah di bangun jln tol utk mengurai...,"Banten, Indonesia"
125,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/0hZw5hndQx","Slawi, Indonesia"
126,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/tx40oDWLqO","Slawi, Indonesia"
127,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/aUtKqA440G","Slawi, Indonesia"
128,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/HCcosgfNE1","Slawi, Indonesia"
129,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/BUD0WUOqC3","Slawi, Indonesia"
130,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/jKrMeKO4Es","Slawi, Indonesia"
131,aan_muba,"Ini Cara Ganjar Nguri-uri Kesenian Daerah 

Sebanyak 110 desa di Janteng dapat bantuan seperangkat gamelan.
Ini adl bentuk kepedulian @ganjarpranowo pada Kesenian Tradisional agar kesenian tradisi desa semakin berkembang, dari karawitan, kuda lumping hingga wayang. 

#GANTARI 🇲🇨 https://t.co/IJpWVbHho3",
132,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/44ihQzQqkq","Slawi, Indonesia"
133,meitta_99,@AndiDarwis71 @Dennysiregar7 @ch_chotimah2 @Miduk17 @yusuf_dumdum Mungkin mereka sangka raden ganjar pranowo...😅,sudut twitter
134,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/JMnaVCP49D","Slawi, Indonesia"
135,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/cXSznyMnhN","Slawi, Indonesia"
136,berkat061,@kominfo_jtg @ganjarpranowo Sukses buat pak gubernur 💪,Di Luar Angkasa ⭕
137,andriy1314,@blontankpoer @ganjarpranowo Jalan adi sumarmo lebih ngerih.🤣,Indonesia
138,DadangM12557896,@ganjarpranowo @LaporGub_ Jangan pilih parpol yg Ketumnya suka pamer lagi makan enak 🤪🤪🤪bikin kecemburuan aja,"Depok, Jawa Barat"
139,satpolppcilacap,"Menindaklanjuti aduan masyarakat terkait Orang Dalam Gangguan Jiwa (ODGJ) Wilayah Kabupaten Cilacap, Jumat (02/03/2023) di Jl. Ternak I, Menganti.

Selengkapnya di :
https://t.co/2YlAA1m9XA

@kemendagri 
@ditpolpp_linmas 
@ganjarpranowo 
@TajYasinMZ 
@satpolpp_jateng https://t.co/aTsF5fVNV4",Jl. Kelud Nomor 12 Cilacap
140,suryaamriza,"@UstadzBaik @BosPurwa @ganjarpranowo Jelas2 krn gagal merubah dirinya sendiri maka upayanya mengubah lain2 diluar dirinya gagal, kok ga ada alasannya. Talking point-nya, kl mau merubah sesuatu, mulailah sukses merubah diri sendiri. Ketahuan ga nyimak.",Indonesia
141,KelvinH60434047,@blontankpoer @ganjarpranowo Perbanyak jalan bercor😀😀😀😀,"Kota Surabaya, Jawa Timur"
142,adeantiko,"@blontankpoer @Satriya1158 @ganjarpranowo Maksudnya mas mbelink, pembangunan jalan itu belum tentu tanggung jawab pemda setempat, ada jalan provinsi, jalan kabkot, dan jalan nasional. Nah kalo jalan nasional, maka pemda manapun g punya kewenangan utk memperbaiki, krn itu kewenangannya BPJN di bawah kemenPU. CMIIW.",
143,RizkiR4madani,"Kalian Mau Bersatu Atau Bubar.. Bodo Amat, Gak Ngaruh Buat Rakyat Kecil Khususnya. Rakyat  Hanya Menginginkan Pak #GanjarPranowo Capres 2024, Presiden 2024-2029. Dah Itu Aje.. Selamat Pagie Indonesia 🇮🇩 Selamat Pagie Sobat tweps Yg Slalu Cihuyy ☕🚬. https://t.co/LMjciIa4cc","Depok, Jawa Barat"
144,Hendrowong,@kominfo_jtg @ganjarpranowo https://t.co/ozDDtrXPCJ,
145,Evello12,"Keduanya akan segera bertarung secara fair di Youtube. Sementara di Instagram dan Tiktok? Ganjar Pranowo telah membuktikan kreativitasnya. (9/9)

Selengkapnya? #TanyaEvello","Wisma Nugra Santana, Lt 13"
146,Evello12,"'@ganjarpranowo tinggal menunggu tiket dukungan parpol. Jika tiket itu ada, sorotan media &amp; panggung keduanya akan setara. (8/9)","Wisma Nugra Santana, Lt 13"
147,Evello12,"Kalah di Youtube, @ganjarpranowo ternyata jauh lebih populer dibandingkan dibandingkan @aniesbaswedan di Media Sosial Tiktok. Ganjar Pranowo mengoleksi interaksi melalui tombol Diggs sebanyak 8.100.198. Sementara Anies Baswedan mengoleksi 1.256.308. (5/9) https://t.co/CLPfNVe6z9","Wisma Nugra Santana, Lt 13"
148,Evello12,"Unggul tipis di Instagram, @ganjarpranowo ternyata tak setinggi interaksi @aniesbaswedan di Youtube. Di media sosial video ini, Anies mengoleksi 400.767 likes. Sementara Ganjar Pranowo tertinggal dengan koleksi likes sebanyak 110.112. (4/9) https://t.co/46AAETavrc","Wisma Nugra Santana, Lt 13"
149,Evello12,"'@ganjarpranowo mengoleksi 2.100.684 tombol likes dari warga Instagram, berbanding jumlah likes @aniesbaswedan yang mencapai 2.026.010 likes. Walau terbilang tipis, tetapi selisihnya mencapai 100 ribu likes. (3/9) https://t.co/2BSYP1gqHE","Wisma Nugra Santana, Lt 13"
150,Evello12,"'@aniesbaswedan dan @ganjarpranowo bersaing keras berebut interaksi warga Instagram sepanjang Februari 2023. Walau terbilang terpaut tipis, akan tetapi pertarungan di lapangan pertempuran ini dimenangkan Ganjar Pranowo. (2/9)","Wisma Nugra Santana, Lt 13"
151,Evello12,"Mengintip Interaksi @AniesBaswedan vs @GanjarPranowo di Instagram, Youtube &amp; Tiktok
(1/9)

Sebuah Utas 
Data Sepanjang Februari 2023","Wisma Nugra Santana, Lt 13"
152,Arofani_Hatifa,@hanayasausan @adnan_uj @BosPurwa @xix0_3 @ganjarpranowo 😂😂😂,
153,MasFey,@Fr4nst @ganjarpranowo Sakjane pemkab nya ngerjain apa aja ya?,"Batang, Indonesia"
154,Arofani_Hatifa,"@adnan_uj @BosPurwa @xix0_3 @ganjarpranowo Jadi RT gak berhasil jg, ya udah diem aja 😂😂😂",
155,liriksoe,"@kominfo_jtg @ganjarpranowo Lapor pak...jalan bolong2 dan gelombang sepanjang perbatasan demak-p4 pedurungan (jalan provinsi) jalur tengag,  juga sudah tidak mampu menampung kepadatan arus lalu lintas. Kapan diperbaiki dan diperlebar?",
156,Arofani_Hatifa,@adnan_uj @BosPurwa @xix0_3 @ganjarpranowo 😂😂😂,
157,Ugi7498,"@ganjarpranowo @Jateng_Twit @jokowi Tema pembahasan di tweet dgn gambar yg ditampilkan gak nyambung. Pembahasan ttg bencana, fotonya ttg Selfi para pejabat dan foto pencitraan. Klo udah gak nyambung gini, udah terbaca, bagaimana kualitas utk memimpin negara",
158,pudin69,"GANJAR JAMIN KEAMANAN PELAPOR &amp; LENGKAPI LAPORGUB FITUR ANONIM
@ganjarpranowo :
Banyak sekali laporan yang masuk, macem-macem bentuknya. Mulai yang pemerintahan, kebijakan publik sampai urusan
personal juga adukan, tidak masalah. https://t.co/pIWkkLthEg","Bojonggede, Indonesia"
159,Rifkifardianzah,@blontankpoer @ganjarpranowo Mbatangan Pati maaaasss... duuh setres lewat sana.. ini mau lebaran ga ada solusi yaa?,Malang Jawa Timur
160,teguhabengyuana,"@ganjarpranowo IKN langkah mengawali membawa Indonesia mewujudkan cita2 bangsa dan negara yg adil dan juga semoga makmur, bukan sebatas wacana, mimpi para pemimpin sebelumnya.
Ganjar yakinkan kita IKN 100% lanjut dan perjuangan diteruskan, amien",jakarta barat
161,Arofani_Hatifa,@BosPurwa @ganjarpranowo 😂😂😂,
162,AnasirBj,@ch_chotimah2 @ganjarpranowo uki psi sudah tak tantang ke jateng. tak biayai sampe dia puas dan tau tentang jateng. dia kagak berani dateng malah mlipir ngeles sana sini. pa lg lo cm modal batangan nul cenul. no macet juwana sampe lasem.,
163,AbuRayy61485339,@ch_chotimah2 @ganjarpranowo Suruh main ke jalur solo ponorogo via wonogiri ....ponorogo biar merasakan sensasi sokbreeker rusak ....,
164,Suatusaatnanti0,"@ganjarpranowo @LaporGub_ Infoo pak banjir dan macet pantura di pati.. Debit air nya tinggi poll
Macet nya puanjang poll
Semoga ada solusi
Tindakan lebih lanjut tentang gunung kendeng yang gundul
Dan jalan nya mohon untuk bisa di rekayasa jalur dan bantuan untuk yang terkena musibah ini🥲 https://t.co/3vDlK9U4VI",Neraka-nya
165,jayarastafara54,"@kominfo_jtg @ganjarpranowo Tai kucing ,tu lihat banyak jalan dipantura macet dan rusak",
166,Ibnurosy1,@ganjarpranowo @provjateng Betul sekali komandan👍👍👍👍,
167,FikiAryanto3,"Angka Prabowo itu lebih unggul dari Ganjar Pranowo dan Anies Baswedan. 

@prabowo @Gerindra 
capres2024 
pemilu2024 
dekade08 
terusmajubersamaprabowo 
mendingprabowo 

Wis Wayahe Prabowo 
2024 Pilih Prabowo 
Ayo Menangkan Prabowo",Bandung
168,CahneMay,@bumnbersatu @jokowi @aniesbaswedan @ch_chotimah2 @Dennysiregar7 @KompasEkonomi @detikcom @prabowo @ganjarpranowo @LOVE_AG4EVER @yunartowijaya @CakTugiman Gedang opo kuwi,
169,FikiAryanto3,"Elektabilitas Prabowo Melejit, Kalahkan Ganjar Pranowo hingga Anies Baswedan. 

@prabowo @Gerindra 
capres2024 
pemilu2024 
dekade08 
terusmajubersamaprabowo 
mendingprabowo 

Wis Wayahe Prabowo 
2024 Pilih Prabowo 
Ayo Menangkan Prabowo",Bandung
170,DeweSing,"@TyoSade35337920 @ch_chotimah2 @ganjarpranowo Poloannya keren masee, pantes benci pak Anies. Sesama penyuka bokep harus saling mendukung. https://t.co/rwSse7ASp8",Indonesia
171,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/dhBld8Skvw",
172,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/8XfW4A5284",
173,RizkiR4madani,"@HotelBrongto @DavidWijaya82 @SetiaAdy_p @BHD_8 @periani @bhenytarika28 @MukhtarLuthfi12 @JohnIrwan4 @lukmanalwahid @CANDAdanBISNIS @TukangMu @MaryanaNunung @dwija_pangarsa @Galih_Akek @EviSuryanti10 @sofiankawar1 @Yul3h4 @RazkaFaiz @PLiantini @Zulfika35354359 @babegalak1 @HeriSu19 @aguzts_ @SultanAnjar @BayuErrianto @positive_values @kasrulsani9 @Edward_1smail @LiaIsti1 @Recoignitionwal @eddies_song @CumiCue @AdigunaAtmaja @Iqbalkuntoro1 @BHD_58 @ganjarpranowo @jokowi @aan_muba @DPR_RI Ho,oh","Depok, Jawa Barat"
174,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/Yh97J8l8tW",
175,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/PWrVWKXPNl",
176,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/NqYfkmAn9I",
177,adangsetiadana,@mihrabku @kompascom @ganjarpranowo Sejak kapan ya kompas punya idealisme?,
178,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/JZy9le0aQZ",
179,DaTomphel,@blontankpoer @ganjarpranowo Uban lg kabur ke kota lain konten bagi2 duit sambil lari2 kecil,
180,dukung_ganjar,Santri Dukung Ganjar Jawa Barat melaksanakan Safari Majelis Talim ke Majelis Taklim Al-Muhajirin di Bandung Pada Tanggal 02/03/2023. #Ganjar #Ganjarpranowo #Ganjar2024 #Ganjarpranowo2024 #santridukungganjarjabar https://t.co/0db30rONOH,
181,eneng_19,"Ini luar biasa, kerja bagus 👍🇲🇨

Selama dua periode Gubernur Jawa Tengah Ganjar Pranowo telah membangun jalan desa dgn total 10 kilometer.
Upaya untuk menunjang infrastruktur &amp; perekonomian warga. https://t.co/OlKLVjszTH",city ​​of Jerusalem
182,sapriadi_doank,@ch_chotimah2 @ganjarpranowo https://t.co/pGInuO9owv,Mempawah
183,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/LA17yHf1vs",
184,progorejosari,@Wede00217596 @kominfo_jtg @ganjarpranowo @dpubmckjateng @provjateng @KemenPU @LaporGub_ @laporwalikotmgl @jokowi @JoeBiden @KingSalman @KingAbdullahII Salah e main bal-balan,"Magelang, Jawa Tengah"
185,dephylla,"@ganjarpranowo Yth. Bapak Gubernur Jawa Tengah, mohon segera ditindak lanjuti perbaikan jalan Provinsi Semarang-Boja sampun ambyar pak gub, kasian mobilitas warga terhambat, sering jadi penyebab kecelakaan",
186,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/Sm1D6In7Ai","Slawi, Indonesia"
187,Bangkit92894137,@YUDHI_Laksana @ganjarpranowo,
188,ToRush9,"@ganjarpranowo Mbok dimulai dari jalan provinsi sendiri ndoro 

Ampun pencitraan ke provinsi lain",
189,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/1cLZ5YFvq6","Slawi, Indonesia"
190,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/iqKlERGZYX","Slawi, Indonesia"
191,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/ibpu3fdrYj","Slawi, Indonesia"
192,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/rVHDX6zG1W",
193,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/BcwwmSDFHB","Slawi, Indonesia"
194,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/ynGaet2ATe","Slawi, Indonesia"
195,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/ahmI9zcjpQ","Slawi, Indonesia"
196,JatengTV,(12) PT Perorangan memiliki kepastian hukum dan terdaftar resmi di Kemenkumham. Kedudukannya sama seperti PT biasa. #ptperorangan #badanhukum #badanusaha #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 #IndonesiaBangkit #Jokowi https://t.co/HRqCfZTPEG,"Semarang, Jawa Tengah"
197,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/EDQhMel6rk","Slawi, Indonesia"
198,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/uhu7vfXSly","Slawi, Indonesia"
199,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/NTewpA8dVy",
200,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/574yTyu5jx","Slawi, Indonesia"
201,Ugi7498,"@BosPurwa @DonAdam68 @ganjarpranowo Iya bener gak dapet. Sdh bagus awalnya, endingnya gregetnya hilang.",
202,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/cywU9u3Q5o",
203,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/Ax3kmKn0F5","Slawi, Indonesia"
204,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/tWrRr5btSx","Slawi, Indonesia"
205,PalingNKRI,@ganjarpranowo,"Shinjuku-ku, Tokyo"
206,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/VS4r2nFpqs","Slawi, Indonesia"
207,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/kppww8BQX5",
208,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/oXoUTvzoRX","Slawi, Indonesia"
209,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/24Z5EWErJ0","Slawi, Indonesia"
210,bpjtegal,"Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Tegal

#JatengGayeng

@ganjarpranowo @TajYasinMZ @provjateng @humasjateng @dprdjatengprov @dpubmckjateng https://t.co/DCRQCxiR29","Slawi, Indonesia"
211,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/GW8ZCYBTMk",
212,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/xkDMbcHB75",
213,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/mchACpI5oR",
214,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/On7Zt9nELN",
215,dephylla,"@kominfo_jtg @ganjarpranowo Jalan provinsi Semarang-Boja sudah parah belum tertangani min, sudah banyak laporan kok belum ada tindak lanjut gimana ini???",
216,hersuss_sibejoo,"@ch_chotimah2 @ganjarpranowo Pengamat saya, malah banyak jalan rusak dan blm d bangun lagi...",
217,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/5x2ozK07c3",
